fouc,f**k off you c**t 
jsyn,just so you know
cihswu,can i have sex with you
dawg,Friend
fgssu,For Gods sake shut up
nigysob,now I've got you son of a b***h
gfym,go f**k your mom
waz^,what's up?
twajs,That was a joke, son.
iwmu,i will miss you
stfd,sit the f**k down
cbb,can't be bothered
bbiam,be back in a minute
cba,can't be arsed
deez,these
gona,Gonna
brbmf,be right back mother f**ker
af,assface
ai,Artificial Intelligence
bbiaf,be back in a few
sorg,Straight or Gay
cbi,can't believe it
h2sys,hope to see you soon
bbiab,be back in a bit
tl8r,talk later
dndp,Do not double post
bma,best mates always
ohy,oh hell yeah
omgwtf,on my God, what the f**k
tafn,That's all for now
fibijar,f**k it buddy, I'm just a reserve
otl,out to lunch
cyal8r,see you later
bbias,be back in a second
gtgmmiloms,got to go my mum is looking over my shoulder
lgo,life goes on
gmab,give me a break
igt,I Got This
igs,I guess so
lylaba,love you like a brother always
btdtgtts,Been there, done that, got the T-shirt
tinstaafl,There Is No Such Thing As A Free Lunch
uhab,you have a blog
jg2h,just go to hell
d2t,drink to that
eejit,idiot
sysop,system operator
c4ashg,care for a shag
effin,f**king
prncss,princess
d2m,dead to me
besos,kisses
yoy,why oh why
hmu,Hit Me Up
friggin,freaking
wtfruttd,what the f**k are you trying to do
rlze,realize
bobfoc,Body of Baywatch, Face of Crimewatch
ttiwwp,this thread is worthless without pics
totl,total
nttiawwt,Not that there is anything wrong with that.
omfsm,Oh My Flying Spaghetti Monster
hwk,homework
pwnt,owned
hwg,here we go
bogsatt,bunch of guys sitting around the table
ptbb,pa** the barf bag
*s*,smile
q33r,Queer
ryt,right
gurlz,girls
a3,anyplace, anywhere, anytime
hwz,how is
tysvm,thank you so very much
rp,roleplay
fnpr,for no particular reason
hwu,hey what's up
poidnh,Pics or it did not happen 
ub3r,super
o rly,oh really
wtityb,whatever, tell it to your blog
ilylafklc,i love you like a fat kid loves cake
b/cos,because
cpl,Cyber Athlete Professional League
ftw,For the win!
yo',your
dyec,Don't You Ever Care
lold,laughed out loud
iwthswy,i want to have sex with you
wula,what you looking at?
ssdd,same s**t, different day
cpy,copy
suabq,shut up and be quiet
u,you
tyfi,Thank You for invite
lollercaust,an extreme event of hilarity
alright,all right
ssdp,same s**t different pile
lwih,look what I have
cpu,computer
lsmih,laughing so much it hurts
pto,Personal Time Off 
osy,oh screw you
ptl,Praise the Lord
omgihv2p,oh my god i have to pee
messg,message
dr00d,druid
mnt,More next time
mlp,my little pony
gdby,good bye
yo,year old
kthxbye,ok, thank you, goodbye
lgr,little girls room
kmfa,kiss my f**king a**
wub,love
mnm,eminem
st1,stoned
lgs,let's go shopping!
ptw,play to win 
j-c,just chilling
suyah,shut up you a** hole!
l8er,later
lols,laugh out loud 
yolo,you only live once
ots,over the shoulder
supa,super
tx,thanks
ohnoez,Oh no
imma,I'm going to
tw,Teacher Watching
icsrg,I can still reach Google
mysm,Miss you so much
tp,toilet paper
tq,Thank You
smeg,f**k
init,isn't it
nmbr,number
hakas,have a kick a** summer
wgaf,Who gives a f**k
wml,Wish Me Luck
taig,That's all I got. 
omhg,oh my hell god
tb,text back
tc,take care
ta,thanks again
roflmfaopimp,rolling on the floor laughing my f**king a** off pissing in my pants
tmsg,tell me something good
mpd,Multiple Personality Disorder
roflmaoapimp,rolling on the floor laughing my a** off and peeing in my pants
tmsidk,tell me somthing I don't know
idno,i do not know
wad,without a doubt
fap,masturbate
faq,frequently asked question
fav,Favorite
ilylas,i love you like a sister
ligaff,like I give a flying f**k
roflmaowpimp,rolling on floor laughing my a** off while peeing in my pants
fah,Funny as hell
ppls,people
fao,for attention of
bestie,best friend
fam,family
fab,fabulous
ligafs,like I give a flying s**t
faa,forever and always
wrd,word
rn,Right now
ilylab,I love you like a brother
haxxor,hacker
hyb,how you been
ro,rock out
tyfyc,Thank You For Your Comment
pbp,Please Be Patient
hyg,here you go
wsi,why should I
sk8r,skater
wrm,which reminds me
hyk,how you know
brover,Brother
rowyco,rock out with your c**k out
ftl,For The Lose
wayta,what are you talking about
yomank,you owe me a new keyboard
sm1,someone
scnr,sorry, I couldn't resist
pbb,parent behind back
pbm,parent behind me
srly,seriously
ykywywm,you know you wish you were me
hvnt,haven't
qotsa,queens of the stone age
ownzer,one who makes others look bad
2k4,2004
2k5,2005
2k6,2006
2k7,2007
2k0,2000
2k1,2001
2k2,2002
2k3,2003
wiwt,wish i was there 
2k8,2008
2k9,2009
qna,question and answer
pics,pictures
copyvio,copyright violation
9009l3,Google
oidia,oops i did it again
gn,good night
nowai,No way
ttiuwp,This Thread Is Useless Without Pictures
nba,national basketball association 
ftfw,For the f**king win!
nbf,never been f**ked
wybts,were you born this sexy
nbd,no big deal
otoh,on the other hand
ownt,made to look bad
8008135,boobies
nxt,next
abd,Already Been Done
sbt,sorry bout that
diah,die in a hole
iltf,i love to f**k
diaf,die in a fire
chillin,relaxing
@h,a**h**e
figmo,F*ck it - got my orders
suk,suck
ycntu,Why Cant You?
xox,hugs and kisses
osd,On Screen Display
leik,like
sprm,sperm
hcbt1,he could be the one
abt,about
sup,what's up
ctpos,Can't Talk Parent Over Sholder
pwob,Parent watching over back
c-p,sleepy
lol'd,laughed out loud
butsecks,butt sex
tcoy,take care of yourself
mompl,moment please
c'mon,Come On
ggs,good games
du2h,d**n you to hell
b2w, Back to work
wuzup,what's up
b2u,back to you
cul8er,see you later
lshic,laughing so hard i'm crying
ltywl,love the way you lie
lylafklc,love you like a fat kid loves cake
tias,Try It And See
ft2t,From time to time
bf+gf,boyfriend and girlfriend
ggg,Go, go, go! 
ggf,go get f**ked
gga,good game all
tlgo,The list goes on
psa,Public Service Announcement
l8rs,laters
b2b,business to business
omgsh,oh my gosh
usux,you suck
fwm,Fine With Me
wen,when
4wd,forward
lomg,like oh my god
fwd,forward
loml,love of my life
llab,Laughing like a b***h.
fwb,Friends with Benefits
hammrd,hammered
sofas,stepping out for a smoke
d.w,don't worry
t,ftfy,there, fixed that for you
pydim,put your d**k in me
lmtus,let me tell you something
pwor,power
lomy,love of my life
fwp,first world problems
llap,live long and prosper
lurker,one who reads but doesn't reply
aufm,are you f**king mental
vid,Video
td2m,talk dirty to me
m8t,mate
tiai,take it all in
nuffin,nothing
biab,back in a bit
rotfflmao,rolling on the f**king floor laughing my a** off
syoa,Save Your Own a**
mabe,Maybe
n1994,african american
re/rehi,hello again
aota,all of the above
enat,every now and then
avtr,avatar
tia,thanks in advance
w/,with
aoto,Amen on that one
dttm,don't talk to me
lmaowrotf,Laughing my a** of while rolling on the floor
pwoms,parent watching over my shoulder
ttylo,talk to you later on
dgaf,don't give a f**k
ntb,not to bad
twf,That was funny
twg,That was great
dgac,don't give a crap
rotflmaostc,rolling on the floor laughing my a** off scaring the cat
rotgl,roll on the ground laughing
irdgaf,i really don't give a f**k
shite,s**t
yasan,You are such a nerd
ymislidi,you make it sound like i did it
showin,showing
tinf,this is not fair
n/o,no offense
moro,tomorrow
dgas,Don't give a s**t
nmhau,nothing much how about you
bblig,Be back later...i guess
lmgdao,Laughing My God d**n a** Off
dirl,Die in real life
morf,male or female
amiigaf,ask me if  i give a f**k
tysfm,thank you so f**king much
wuut,what you up to
grtg,Getting ready to go
wtb,Want to buy
tswc,tell someone who cares
xellent,excellent
dood,dude
dernoe,I don't know
ain't,am not
wdim,What Did I miss
pmsl,piss my self laughing
wjwd,What Jesus Would Do
dey,they
smh,shaking my head
h/e,However
guru,expert
h/o,hold on
der,there
wtfhb,what the f**king hell b***h
wdhlm,why doesnt he love me?
aboot,about
h/w,homework
h/u,hold up
parnts,parents
dem,them
cwtgypo,can't wait to get your panties off
dugi,do you get it?
wuu2,what you up to
tos,terms of service
innit,isn't it
cancer stick,cigarette
intarwebs,internet
def,definitely
lmaoxh,laughing my a** off extremely hard
natch,naturally
isp,internet service provider
imu,i miss you 
rolmao,Rolling Over Laughing My a** Off
wduwta,what do you wanna talk about
preggers,pregnant
bdfl,Benevolent Dictator For Life
f9,fine
lollam,Laughing Out Loud Like A Maniac
tbnt,thanks but no thanks
cluebie,clueless newbie
taht,that
omfwtg,Oh My f**k What The God?
lolol,saying 
bffe,Best friends forever
po'd,pissed off
comin',coming
bffn,best friends for now
haxxzor,Hacker
bffl,best friends for life
wafda,What a f**king Dumb a**
iono,I don't know
4col,For crying out loud
bogo,buy one get one
csl,can't stop laughing
csi,Crime Scene Investigation
phear,fear
penor,penis
isj,inside joke
lqtm,Laugh quietly to myself
j2luk,just to let you know
udy,you done yet
fashizzle,for sure
prn,porn
oyr,Oh Yeah Right
mcds,mcdonalds
oyo,on your own
ooym,out of your mind
rjct,reject
lqts,laughing quietly to self
lrh,laughing really hard
hw/hw,help me with homework 
iso,In Search Of
2ditd,today is the day
lmfo,laughing my face off
smst,somebody missed snack time
hugz,hugs
fp,first post
4311,hell
nooblet,new player
fs,For Sure
ft,f**k THAT
fu,f**k you
rbau,right back at you
fy,f**k you
gtfa,Go The f**k Away
rhgir,really hot guy in room
roflmbfao,Rolling On Floor Laughing My Big Fat a** Off 
wwy,where were you
fc,fruit cake
fe,fatal error
ff,friendly fire
fg,f**king gay
aaaaa,American Assosciation Against Acronym Abuse
fi,f**k it
fk,f**k
fm,f**k me
fn,first name
fo,f**k off
qfmft,quoted for motherf**king truth
ihistr,i hope i spelled that right
ugba,you gay b***h a**
nmhu,nothing much here, you?
bwpwap,back when Pluto was a planet
ilvu,i love you
n00b,newbie
hfs,holy f**king s**t!
ih2gp,I have to go pee
idkwiwdwu,I don't know what I would do without you
f@,fat
bogof,buy one get one free
whevah,where ever
f-ing,f**king
ise,internal server error
cing,seeing
npgf,no problem girl friend
isd,internet slang dictionary
sw,so what
pwnzor,owner
lrt,last retweet
itn,I think not
wau,what about you
ttul,Talk To You Later
byself,by myself
ysic,why should I care
itk,in the know
bich,b***h
itd,in the dark
fft,food for thought
ffs,for f**k's sake
ffr,for future reference
icbt,i can't believe that
icbu,I can't believe you
bcuz,because
ctpc,cant talk parent(s) coming
cheezburger,cheeseburger
itz,it's
xmpl,example
liekz,likes
efffl,extra friendly friends for life
alrite,Alright
iluwamh,i love  you with all my heart
4gai,forget about it
ffa,free for all
roffleol,rolling on the floor laughing out loud
wubu2,what you been up to
rpo,royally pissed off
swafk,sealed with a friendly kiss
muvva,mother
latr,Later
phm,please help me
omwh,on my way home
thnx,thanks
jtluk,just to let you know
pnus,penis
hght,height
mty,empty
wrt,with regard to
wru,where are you
ilhsm,i love him/her so much
pco,please come over
lirl,laughing in real life
lawlz,laughing out loud with a southern drawl
thnk,think
bout,about
imsry,I am sorry
@$$ #013,a** hole
ypmo,you piss me off
pce,peace
yh,yeah
rwb,Rich White b***h
ym,your mom
lmto,laughing my tits off
fook,f**k
ya,yeah
nmjcu,nothing much, just chilling, you?
s2u,same to you
ye,yeah
lmhao,laughing my hairy a** off
gooh,get out of here!
lmty,laughing more than you
lshmson,laughing so hard milk shot out nose
gmod,Global Moderator
icymi,in case you missed it
nmjch,Nothing Much Just Chilling
wtfhwt,what the f**king hell was that
ys,you suck
yhgtbsm,You Have Got To Be Shitting Me
yu,You
yt,You there?
yw,you're welcome
cex,sex
n/a,not applicable
witwct,What is the world coming too
ruabog,are you a boy or girl
mbl8r,Maybe Later
b.f.f.,best friend forever
ynk,you never know
4got,forgot
yng,young
ifwis,I forgot what I said
gnight,good night
fulla,Full of
iff,if and only if
omgroflmao,oh my god roll on the floor laughing my a** off
wtfwjd,what the f**k would jesus do
nmhm,nothing much here, man
2b,to be
1ab,wannabe
nwrus,no way are your serious 
2m,tomorrow
h8t3r,hater
ynw,you know what
dnrtfa,did not read the f**king article
dc'd,disconnected
ifk,I f**king know
foaf,friend of a friend
gfx,graphics
gfy,good for you
urtbitw,You are the best in the world!
iwjk,i was just kidding
h*r,homestar runner
idek, I don't even know
peeps,people
hpybdy,happy birthday
whodi,friend
smf,stupid motherf**ker
gfu,go f**k yourself
gfj,good f**king job
neva,never
gfi,good f**king idea
gfo,go f**k off
gfl,grounded for life
jwas,just wait a second
ygtbk,you've got to be kidding
orpg,online role playing game
lollerskates,laughing out loud
prv,private
gfg,good f**king game
gfd,god f**king damnit
gfe,Girl Friend experience
ftp,file transfer protocol
fts,f**k that s**t
ftr,For The Record
prolly,Probably
lolf,lots of love forever
d/l,download
d/m,Doesn't Matter
f4eaa,friends forever and always
d/c,disconnected
invu,I envy you
b.s.,bulls**t
loln,laught out loud... not
lolm,laugh out loud man
pwnz,owns
fta,From The Article
pwnd,owned
lolq,laugh out loud quietly
ftb,f**k That b***h
wwjd,what would jesus do?
2getr,Together
sdlc,Software Development Life Cycle
ftf,face to face
lolz,laugh out loud
ftk,For the Kill
lolees,laugh out loud
d/w,don't worry
msie,microsoft's internet explorer
asr,age sex race
wdys,What did you say
duno,don't know
kitteh,kitten
beyotch,b***h
mmt,meet me there
mmw,making me wet
gday,Good Day
omgukk,oh my god you killed kenny
aybab2u,All your base are belong to us
tbh,to be honest
sh,s**t happens
thxx,thanks
mml,making me laugh
mmo,Massive Multiplayer Online
gfus,go f**k yourself
aybab2m,all your base are belong 2 me
ase,age, sex, ethnicity
mmd,make my day
j/a,Just Asking
asl,age, sex, location
ysal,you suck at life
wltm,would like to meet
lmirl,Let's meet in real life
sytycd,so you think you can dance 
upos,you piece of s**t
lollercoaster,laugh out loud (a lot)
rcks,Rocks
cfid,check for identification
n00s,news
inho,in my honest opinion
wwycm,when will you call me
wtfh,what the f**king hell
edumacation,education
wwikt,why would i know that
code 29,moderator is watching
i8u,i hate you
fcol,for crying out loud
inttwmf,I am Not Typing This With My Fingers
haxz0r,Hacker
gtfoomf,get the f**k out of my face
u/n,username
dont,don't
wansta,wanna be ganster
wtfdum,what the f**k do you mean
idw2,I don't want to
rong,wrong
ioh,I'm out of here
wc3,Warcraft III
ursab,you are such a b***h
wtfc,Who The f**k Cares
otflmfao,On the floor laughing my f**king a** off
ownzorz,Owned.
wpe,worst president ever (Bush)
wlcb,welcome back
bioya,blow it out your a**
tfs,thanks for sharing
tou,thinking of you
rugay,are you gay
tf2,Team Fortress 2
tfm,too f**king much
y00,you
hott,hot
igtgt,I got to go tinkle
kol,kiss on lips
koo,cool
winnar,winner
dfu,don't f**k up
m4m,male for male
dfw,down for whatever
yermom,your mother
ilysfm,i love you so f**king much
gpb,gotta pee bad
g00g13,Google
dfo,dumb f**king operator
skoul,school
187,murder
4ker,f**ker
bzzy,busy
aiadw,ALL IN A DAYS WORK
kos,kid over shoulder
nvmdt,never mind then
dfc,DON'T f**kING CARE
esad,eat s**t and die
80085,Boobs
ikwud,I know what you did
waloc,what a load of crap
tard,retard
arse,a**
gnasd,good night and sweet dreams
tfd,total f**king disaster
jtbs,Just To Be Sure
ncs,no crap sherlock
inhwh,I need homework help
phreak,freak
idwt,i don't want to
tfb,time for bed
roids,steroids
idwk,I don't wanna know
wbbs,will be back soon
wtfb,what the f**k b***h
lmffo,Laughing my f**king face off
tfu,that's f**ked up
dikhed,dickhead
meatcurtain,woman's private parts
idec,I don't even care
shld,should
g2g2w,got to go to work
buhbi,Bye Bye
std,sexually transmitted disease
proxie,proxy
dth,down to hang
tgfe,together forever
yhl,you have lost
stb,soon to be
dtl,d**n the luck
refl,rolling on the floor laughing
dtb,don't text back
dta,Don't Trust Anyone
yhm,You have mail
sth,something
aak,Alive and Kicking
stt,Same time tomorrow
upw,unidentified party wound
l2r,Learn to read
tgfu,too good for you
tgft,thank god for that
sts,so to speak
dts,Don't think so
brbg2p,be right back, got to pee
amsp,ask me something personal
wuteva,whatever
yysw,yeah, yeah, sure, whatever
htr,hater
jtay,just thinking about you
rawr,roar
nnaa,no not at all
plos,Parents Looking Over Shoulder
yodo,you only die once
iyflg,If You're Feeling Less Generous
tfl,Thanks For Looking
m.i.a,Missing In Action
@$$,a**
kthxgb,ok thanks goodbye
tgiff,thank god its f**king Friday
wysiwyg,what you see is what you get
wafn,what a f**ken noob
pen15,penis
wafm,wait a f**king minute
qpr,quite pathetic really
jsuk,just so you know
dttpou,Don't tell the police on us
jsun,Just so you know
tfh,Thread from hell
iight,alright
wyg,will you go
tyvm,Thank You Very Much
urafb,you are a f**king b***h
sumfin,Something
wyatb,wish you all the best
zomfg,oh my f**king god
fyeo,For your eyes only
lil,little
lim,Like it Matters
u2,You too
jeomk,Just ejaculated on my keyboard
lih,Laugh in head
lik,like
kthxbi,ok, thank you, goodbye
ctncl,Can't talk now call later
liv,live
wyd,what are you doing
omy,oh my!
mpgis,most popular girl in school
smd,suck my d**k
chilax,chill and relax in one word
qt3.14,cutie pie
bohica,bend over, here it comes again
rut,are you there
ssia,subject says it all
avsb,a very special boy
lozer,loser
vnc,Virtual Network Computing
jsa,just stop already
ufic,Unsolicited Finger in Chili
2tm,to the max
rogl,rolling on ground laughing
gilf,Grandma I'd like to f**k
kah,kisses and hugs
w8,wait
sorreh,sorry
vnh,Very nice hand
jst,just
ufia,unsolicited finger in the anus
kaw,kick a** work
tfc,Team Fortress Classic
kmhba,kiss my hairy big a**
hawtie,hottie
t2m,talk to me
kay,okay
compy,computer
owt,Out
sg,so good
wats,whats
cyff,change your font, f**ker
kb,KiloBite
ianyl,I am not your lawyer
suxor,Sucks
kk,ok
whubut,what have you been up to
g/g,got to go
g/f,girlfriend
ko,knock out
ttiwwop,This thread is worthless without pics
bzy,busy
kl,cool
ks,kill steal
h2o,water
tps,test procedure specification
rifk,rolling on the floor laughing
exp,experience
kt,keep talking
fpmitap,federal pound me in the a** prison
lbvs,laughing but very serious
2sday,tuesday
ijcomk,i just came on my keyboard
rofflmfao,rolling on the floor laughing my f**king a**
iwbrbl@r,I will be right back later
stff,stuff
rtg,ready to go
rtf,return the favor
rta,read the article
n00dz,nudes
lmks,Let Me Know Soon
rtm,read the manual
rtl,report the loss
fone,phone
ootb,out of the blue
stfu,shut the f**k up
hi2u2,hello to you too
lofl,laugh out f**king loud
rawk,Rock
buszay,busy
rukm,are you kidding me
usck,you suck
iw2f,i want to f**k
igyb,I Got Your Back
fvck,f**k
bfg,big f**king gun
bff,best friend forever
bfe,Bum f**k Egypt
bfd,big f**king deal
cr8,crate
bfh,b***h from hell
lf1m,Looking for one more
bfn,bye for now
bfs,Boyfriends
yme,why me
abend,absent by enforced net deprivation
bft,big f**king tits
ttiuwop,this thread is useless without pics
asbmaetp,Acronyms should be memorable and easy to pronounce
s.o.a.b.,son of a b***h
jtol,just thinking out loud
orlsx,oral sex
jtoi,just thought of it
fmnb,f**k me now b***h
prego,Pregnant
0vr,over
dwmt,don't waste my time
hiw,husband is watching
nhatm,not here at the moment
ut,you there
idw2n,i don't want to know
cotf,crying on the floor
g2hb,go to hell b***h
xfer,transfer
aaf,as a friend
wevr,whatever
sum1,someone
silf,Sister I'd Like To f**k
ph34r,fear
bofh,b*****d operator from hell
cd9,Code 9 (other people nearby)
wtfiu,what the f**k is up
crs,can't remember s**t
crp,crap
syl8r,see you later
mmbocmb,message me back or comment me back
t2u,talking to you
tff,That's f**king Funny
masterb8,masterbate
r.i.p.,rest in peace
cihyn,can i have your number
2g2bt,too good to be true
whever,whatever
plse,please
rff,really f**king funny
s.i.t.,stay in touch
stm,smiling to myself
anwwi,alright now where was i
t/a,Try again
sthu,shut the hell up
rfn,right f**king now
crm,customer relationship management
ytfwudt,why the f**k would you do that?
pvp,player versus player
pvt,pervert
yesh,yes
vids,Videos
f.b.,facebook
4g8,forget
snew,what's new
tpb,the pirate bay
rotfflmfao,rolling on the f**king floor laughing my f**king a** off
liol,laugh insanely out loud
wyauimg,Why you all up in my grill?
sed,said
sec,second
wthayd,what the heck are you doing
wld,would
gdi,God d**n it
seo,Search Engine Optimization
tanstaafl,there ain't no such thing as a free lunch
fotm,Flavour of the month
tffw,Too funny for words
ps1,Play Station 1
13itch,b***h
urms,you rock my socks
woz,was
wkend,weekend
iccl,I could care less
lmmfaos,laughing my mother f**king a** off silly
lmgtfy,Let me Google that for you
rotffl,roll on the f**king floor laughing
bamofo,b***h a** mother f**ker
iwyb,I want your body
yatwl,you are the weakest link
stw,share the wealth 
imsb,i am so bored
pob,parent over back
wdydt,why do you do that
woe,what on earth
rite,right
ilybby,i love you baby
woa,word of advice
iwyn,I want you now
woc,welcome on cam
bibi,bye bye
ikr,I know really
4gv,forgive
g2t2s,got to talk to someone
ikt,i knew that
fgt,faggot
xoac,Christ on a crutch
damhik,don't ask me how I know
fgs,for God's sake
shizz,s**t
2moro,tomorrow
tif2m,this is f**king 2 much
fgi,f**king google it
effed,f**ked
iki,i know it
yaw,you are welcome
dnrta,did not read the article
ikm,I know man
totm,top of the morning
ioyk,if only you knew
glhf,good luck have fun
c,see
dtp,Don't Type Please
ppor,post proof or recant
f2f,face to face
tmr@ia,the monkeys are at it again
mego,my eyes glaze over
thot,the hoe of today
ioya,I'd Own Your a**
alol,actually laughing out loud
heyya,hello
tfu2baw,time for you to buy a watch
nifok,naked in front of keyboard
anon,anonymous
f2p,free to play
alot,a lot
f2t,Free to talk
pdg,pretty d**n good
sifn't,as if not
ttrf,That's the rules, f**ker
mmas,meet me after school
pda,public display of affection
rofc,Rolling On Floor Crying
plams,parents looking at my screen
iluvu,i love you
2nyt,tonight
wdyl,who do you like
wdym,what do you mean
omt,one more time
ryte,right
pleeze,please
wwyd,what would you do?
ayfr,are you for real
ayfs,Are You f**king Serious
ikwum,I know what you meant
mstrb8r,masturbator
srvis,Service
lulz,Laughing out loud.
rofalol,roll on the floor and laugh out loud
ayfk,are you f**king kidding
wtfg,What the f**king god
watcha,what are you
iluvm,I Love You Very Much
onoez,oh no
wdyt,what do you think
rlly,really
ttml,talk to me later
mtherfker,mother f**ker
lgot,let's go out tonight
duk,did you know
swm,single white male
dum,dumb
dun,don't
dctnry,dictionary
sgbadq,Search google before asking dumb questions
twdah,that was dumb as hell
cyl8er,see you later
bytabm,beat you to a bloody mess
pb,peanut butter
c/b,comment back
pf,profile 
h4xxor,hacker
txt,text
pk,player kill
oiyd,Only In Your Dreams
wtiiot,What time is it over there?
po,piss off
pl,parent looking
idbtwdsat,I don't believe they would do such a thing
ifhy,i f**king hate you
stoopid,stupid
alotbsol,always look on the bright side of life
wdwdn,what do we do now
wogge,what on god's green earth?
natm,not at the minute
iddi,I didn't do it
pwn3d,owned
gaw,grandparents are watching
knewb,new player
funy,funny
tiw,teacher is watching
grillz,metal teeth
gpytfaht,gladly pay you tuesday for a hamburger today
twi,Texting While Intoxicated
gal,get a life
werkz,works
gaj,get a job
gai,gay
gah,gay a** homo
gaf,good as f**k
cowboy choker,cigarette
qpwd,quit posting while drunk
skool,school
bilf,brother i'd like to f**k
fut,f**k You Too
fuu,f**k you up
fus,f**k yourself
hlysht,Holy s**t
fuq,f**k you
iym,I am your man
iyo,in your opinion
*67,unknown
fux,f**k
heya,hey
bf4eva,Best Friends forever
nthg,nothing
bilu,baby i love you
fub,f**k you b***h
rehi,hello again
mypl,my young padawan learner
fua,f**k you all
piab,panties in a bunch
bljb,Blowjob
w/eva,whatever
pach,parents are coming home
fuk,f**k
2night,tonight
smfd,suck my f**king d**k
muve,multi-user virtual environment
yrsm,you really scare me
motd,message of the day
wafl,what a f**king loser
fyc,f**k your couch
lpiaw,Large Penis is always welcome
bbfs,best boyfriends
wtfwtf,what the f**k was that for?
ttlly,totally
stys,speak to you soon
bbfu,be back for you
42n8,fortunate
hoay,how old are you
fya,for your attention
bbfn,Bye Bye for now
l0lz,laugh out loud
wduwtta,what do you want to talk about
wauw,what are you wearing
icic,I See. I See
h3y,hey
fckm3hdbayb,f**k Me Hard Baby
pen0r,Penis
mins,minutes
wuwu,what up with you
h4xor,hacker
g2g,got to go
mbfal,my best friend and lover
some1,someone
wdutom,what do you think of me
gmafb,give me a f**king break
mos,mom over shoulder
shag,f**k
bohic,Bend over here it comes
p/w,password
hby,how about you
wyltk,wouldn't you like to know
hwga,here we go again
prvrt,pervert
wwwy,what's wrong with you
bbtn,be back tonite
dga,don't go anywhere
tis,is
mmlfs,married man looking for sex
glu2,good luck to you too
esbm,Everyone sucks but me
wutb,What are you talking about
sym,shut your mouth
syl,see you later
sys,see you soon
iateu,i hate you
dfwm,Don't f**k with Me
grvy,groovy
hcib,how can it be
dgt,don't go there
idkwym,I don't know what you mean
2u2,To you too
vgh,Very good hand
byak,blowing you a kiss
nld,nice lay down
fyrb,f**k you right back
knn,f**k your mother
gsp,get some p***y
jbu,just between us
tks,thanks
hagd,have a good day
mobo,motherboard
howz,hows
lic,like i care
hagl,have a great life
fotcl,fell off the chair laughing
hagn,have a good night
eleo,Extremely Low Earth Orbit
pitrtul,parents in the room text you later
h/mo,homo
gsd,getting s**t done
gsi,go suck it
knw,know
roflcopters,rolling on the floor laughing, VERY funny.
doodz,dudes
yn,why not
jdfi,Just f**king do it
haxoring,hacking
jttsiowctw,just testing to see if other websites copy this word
vgg,very good game
cayc,call at your convenience
irly,I really love you
lylad,love you like a dad
sydlm,Shut your dirty little mouth
2gethr,together
wot,what
w8am,wait a minute
mtfbwu,may the force be with you
prfct,perfect
ldr,Long-distance relationship
budzecks,butt sex
bfhd,big fat hairy deal
2getha,together 
urht,you're hot
stfng,search the f**king news group
dhac,Don't have a clue
rgr,roger
nefing,anything
liu,Look It Up
lyfao,laughing your f**king a** off
cuz,because
pwn3r,owner
gitar,guitar
shexy,sexy
cud,could
ygrr,you got rick rolled
sblai,stop babbaling like an idiot
grmbl,grumble
n2mhjc,not too much here just chillin
cul,see you later
gemo,gay emo
ruwm,are you watching me
ight,alright
nwih,no way in hell
bii,bye
khuf,know how you feel
c|n>k,coffee through nose into keyboard
secksea,Sexy
phayl,fail
vzit,visit
biz,Business
ppppppp,Prior Proper Planning Prevents Piss Poor Performance
biw,boss is watching
shwr,shower
dvda,double vaginal, double anal
lfnar,laughing for no aparent reason
intel,intelligence
sgi,Still got it
cawk,c**k
yswnt,why sleep when not tired?
rtfms,Read The f**king Manual Stupid
fnar,For No Apparent Reason
hswm,Have Sex With me
interweb,internet
alrt,alright
snog,kiss
hwms,hot wild monkey sex
utfse,use the f**king search engine
wit,with
nfs,not for sale
h4xx0rz,hacker
idkwurta,I don't know what you are talking about.
waz ^,what's up
donno,don't know
pkemon,pokemon
mmamp,Meet me at my place
mf2f4sx,meet face to face for sex
ijp,Internet job posting
b&,banned
igtg,i've got to go
soml,story of my life
tym,time
ywud,yo whats up dude
absnt,absent
nizzle,n****r
b4,before
wudev,Whatever
lttpot,laughing to the point of tears
ftbfs,Failed to build from source
ijf,i just farted
b3,be
ihtutbr,I have to use the bathroom
ijk,I'm Just kidding
b8,bait
lshipmp,Laughing so Hard I Piss My Pants
tmtt,tell me the truth
larp,live action role-play
pex,Please explain?
stfuysoab,shut the f**k up you son of a b***h
bm&y,between you and me
good9,goodnite
srzly,seriously
irgtgbtw,I've really got to get back to work
reefer,marijuana
pron,porn
iwtfu,i want to f**k you
wiw,wife is watching
srry,sorry
ywywm,you wish you were me
tl:dr,Too Long; Didn't Read
ythwudt,Why the hell would you do that
lappy,Laptop
jtysk,just thought you should know
doin,doing
iwtfy,i want to f**k you
7734,hell
bd,birthday
goml,get out of my life
bf,boyfriend
bg,background
omgg,Oh my gosh girl
bb,bye bye
bc,because
bl,bad luck
bm,Bite Me
bn,been
bo,body odour
304,hoe
j2lyk,just to let you know
bj,blowjob
cgf,cute guy friend
bt,bit torrent
usd,United States Dollar
tuvm,thank you very much
br,bathroom
bs,bulls**t
impov,in my point of view
yaf,you're a f**
ufr,Upon further review
bmfe,best mates forever
bz,busy
hhiad,holy hole in a doughnut
smthng,something
b@,banned
howdey,hello
fosho,for sure
iflu,i f**king love you
fmir,family member in room
cmao,Crying My a** Off
07734,hello
icwum,I see what you mean
cmar,cry me a river
idl,I don't like
idm,I don't mind
ylb,you little b***h
idk,I don't know
bish,b***h
